location,age,population
09,40,42324
09,41,41453
09,42,41527
09,43,40394
09,44,41588
09,45,40438
09,46,41836
09,47,44545
09,48,48397
09,49,50278
09,50,48645
09,51,48488
09,52,49085
09,53,51328
09,54,53865
09,55,54258
09,56,53418
09,57,52705
09,58,53740
09,59,53846
09,60,51677
09,61,50956
09,62,49575
09,63,47262
09,64,46018
09,65,43363
09,66,41174
09,67,38552
09,68,36422
09,69,35572
09,70,34126
09,71,34199
09,72,36403
09,73,26937
09,74,26071
09,75,25567
09,76,26702
09,77,22328
09,78,19564
09,79,18123
09,80,16878
09,81,16045
09,82,14456
09,83,13623
09,84,12809
09,85,91330
10,0,10618
10,1,10671
10,2,11061
10,3,11239
10,4,11130
10,5,11106
10,6,11061
10,7,11372
10,8,11448
10,9,11325
10,10,11313
10,11,11613
10,12,11558
10,13,11646
10,14,11533
10,15,11654
10,16,11648
10,17,11576
10,18,12590
10,19,12750
10,20,11785
10,21,11267
10,22,11107
10,23,11172
10,24,11823
10,25,12347
10,26,12463
10,27,12946
10,28,13685
10,29,13870
10,30,13712
10,31,13093
10,32,12335
10,33,12259
10,34,12370
10,35,11921
10,36,12116
10,37,11786
10,38,11660
10,39,11891
10,40,11374
10,41,10997
10,42,10635
10,43,10145
10,44,10576
10,45,10236
10,46,10570
10,47,11144
10,48,12172
10,49,12563
10,50,11768
10,51,11876
10,52,12262
10,53,12764
10,54,13526
10,55,13673
10,56,13894
10,57,13720
10,58,14014
10,59,14014
10,60,13646
10,61,14077
10,62,13775
10,63,13519
10,64,13398
10,65,13016
10,66,12761
10,67,12297
10,68,11787
10,69,11561
10,70,11371
10,71,11371
10,72,11983
10,73,8497
10,74,8214
10,75,7977
10,76,8141
10,77,6985
10,78,6077
10,79,5472
10,80,5007
10,81,4746
10,82,4088
10,83,3795
10,84,3506
10,85,20254
11,0,9552
11,1,9212
11,2,9036
11,3,8811
11,4,8757
11,5,7962
11,6,8189
11,7,7876
11,8,7460
11,9,6690
11,10,6314
11,11,6136
11,12,5954
11,13,5506
11,14,5311
11,15,5127
11,16,5054
11,17,5221
11,18,8999
11,19,12170
11,20,10553
11,21,8781
11,22,8215
11,23,10588
11,24,13260
11,25,15118
11,26,15648
11,27,16762
11,28,17234
11,29,17752
11,30,17449
11,31,17277
11,32,16428
11,33,15801
11,34,15072
11,35,14112
11,36,13435
11,37,12800
11,38,11848
11,39,11613
11,40,10566
11,41,9533
11,42,8962
11,43,8029
11,44,8071
11,45,7596
11,46,7561
11,47,7731
11,48,7921
11,49,7653
11,50,7294
11,51,7093
11,52,6982
11,53,6922
11,54,7533
11,55,7507
11,56,7458
11,57,7177
11,58,7211
11,59,7275
11,60,6820
11,61,6826
11,62,6620
11,63,6582
11,64,6400
11,65,6290
11,66,5886
11,67,5495
11,68,5368
11,69,5216
11,70,5016
11,71,4896
11,72,4797
11,73,3674
11,74,3581
11,75,3445
11,76,3293
11,77,3054
11,78,2644
11,79,2574
11,80,2295
11,81,2093
11,82,1978
11,83,1809
11,84,1697
11,85,12242
12,0,221463
12,1,224371
12,2,228778
12,3,232381
12,4,232749
12,5,233471
12,6,231167
12,7,233532
12,8,235348
12,9,232832
12,10,232988
12,11,242629
12,12,244614
12,13,243892
12,14,241924
12,15,240850
12,16,234530
12,17,242410
12,18,242940
12,19,241706
12,20,242201
12,21,247135
12,22,250579
12,23,255633
12,24,262574
12,25,269733
12,26,274194
12,27,283945
12,28,294561
12,29,297383
12,30,286190
12,31,277471
12,32,271559
12,33,271068
12,34,273318
12,35,265364
12,36,268898
12,37,267599
12,38,264777
12,39,270103
12,40,255134
12,41,253264
12,42,253772
12,43,247317
12,44,254303
12,45,249783
12,46,256488
12,47,269080
12,48,281692
12,49,283374
12,50,267510
12,51,264343
12,52,268248
12,53,275331
12,54,293546
12,55,299562
12,56,297362
12,57,296082
12,58,298247
12,59,298257
12,60,287208
12,61,285152
12,62,284374
12,63,276419
12,64,275692
12,65,269177
12,66,263076
12,67,257477
12,68,254671
12,69,251483
12,70,248693
12,71,251309
12,72,267863
12,73,202591
12,74,199029
12,75,194453
12,76,200535
12,77,173022
12,78,156340
12,79,146017
12,80,135959
12,81,126869
12,82,114752
12,83,105472
12,84,97095
12,85,581454
13,0,127141
13,1,128766
13,2,131644
13,3,133384
13,4,135631
13,5,135015
13,6,134438
13,7,137644
13,8,138824
13,9,139666
13,10,140592
13,11,146576
13,12,147613
13,13,147134
13,14,145501
13,15,145634
13,16,144049
13,17,144629
13,18,147654
13,19,150154
13,20,143881
13,21,142909
13,22,142034
13,23,142613
13,24,145943
13,25,149042
13,26,153012
13,27,155401
13,28,157723
13,29,156406
13,30,150080
13,31,145009
13,32,141894
13,33,141043
13,34,143651
13,35,138447
13,36,141395
13,37,141807
13,38,141536
13,39,145833
13,40,137008
13,41,134534
13,42,134235
13,43,130263
13,44,135896
13,45,133105
13,46,137177
13,47,142987
13,48,149807
13,49,149620
13,50,138438
13,51,134669
13,52,134605
13,53,136743
13,54,142501
13,55,142516
13,56,139747
13,57,137274
13,58,136657
13,59,135213
13,60,129126
13,61,126042
13,62,124790
13,63,119311
13,64,116857
13,65,110806
13,66,105781
13,67,101046
13,68,97816
13,69,95918
13,70,92826
13,71,92204
13,72,94019
13,73,68628
13,74,66957
13,75,63621
13,76,63461
13,77,53489
13,78,48296
13,79,44694
13,80,40286
13,81,36494
13,82,32289
13,83,29771
13,84,27483
13,85,151069
15,0,16800
15,1,16717
15,2,17044
15,3,17402
15,4,17256
15,5,17554
15,6,17706
15,7,17396
15,8,17447
15,9,16607
15,10,16185
15,11,16649
15,12,16237
15,13,15937
15,14,15868
15,15,16053
15,16,15771
15,17,15239
15,18,15055
15,19,15169
15,20,16560
15,21,17362
15,22,17724
15,23,18163
15,24,18841
15,25,19632
15,26,19906
15,27,20293
15,28,21145
15,29,20888
15,30,19884
15,31,19527
15,32,19734
15,33,19477
15,34,19509
15,35,19428
15,36,19646
15,37,19354
15,38,19101
15,39,19342
15,40,18163
15,41,17231
15,42,16872
15,43,16254
15,44,16412
15,45,16063
15,46,15992
15,47,16558
15,48,17266
15,49,18256
15,50,16888
15,51,16415
15,52,16157
15,53,16518
15,54,17634
15,55,17659
15,56,17844
15,57,17837
15,58,17800
15,59,18818
15,60,17955
15,61,17866
15,62,17942
15,63,17673
15,64,17743
15,65,17232
15,66,17200
15,67,16556
15,68,15802
15,69,16248
15,70,15481
15,71,15138
15,72,14822
15,73,11830
15,74,11783
15,75,11248
15,76,9966
15,77,8841
15,78,7979
15,79,7465
15,80,6654
15,81,6312
15,82,5690
15,83,5358
15,84,5175
15,85,41668
16,0,22106
16,1,22367
16,2,23057
16,3,24024
16,4,24646
16,5,24065
16,6,24588
16,7,24348
16,8,24947
16,9,25369
16,10,25620
16,11,26521
16,12,26768
16,13,26182
16,14,26380
16,15,26305
16,16,25594
16,17,25314
16,18,24539
16,19,23433
16,20,22374
16,21,22614
16,22,23824
16,23,23947
16,24,23675
16,25,24200
16,26,24112
16,27,24361
16,28,24565
16,29,24393
16,30,23345
16,31,22626
16,32,22581
16,33,22876
16,34,23431
16,35,23217
16,36,23606
16,37,23698
16,38,23766
16,39,23946
16,40,22881
16,41,22281
16,42,21738
16,43,20857
16,44,21182
16,45,20092
16,46,19679
16,47,20456
16,48,21362
16,49,21203
16,50,20346
16,51,19398
16,52,19505
16,53,19583
16,54,20142
16,55,20942
16,56,21587
16,57,22041
16,58,22512
16,59,22459
16,60,21741
16,61,22035
16,62,22260
16,63,21479
16,64,21304
16,65,20819
16,66,20566
16,67,19644
16,68,18736
16,69,18119
16,70,17604
16,71,17269
16,72,17766
16,73,12829
16,74,12514
16,75,12252
16,76,12345
16,77,10343
16,78,9411
16,79,8590
16,80,7922
16,81,7002
16,82,6292
16,83,5628
16,84,5245
16,85,29774
17,0,143723
17,1,145936
17,2,149504
17,3,153181
17,4,154590
17,5,152251
17,6,151861
17,7,153500
17,8,155612
17,9,156503
17,10,156110
17,11,161245
17,12,162519
17,13,162807
17,14,163337
17,15,165869
17,16,164633
17,17,164694
17,18,163671
17,19,163763
17,20,162863
17,21,162948
17,22,164969
17,23,166959
17,24,172238
17,25,175425
17,26,177695
17,27,180906
17,28,182153
17,29,181051
17,30,173653
17,31,172006
17,32,169444
17,33,171606
17,34,174157
17,35,168170
17,36,169889
17,37,170221
17,38,168375
17,39,173300
17,40,161856
17,41,158861
17,42,157692
17,43,152369
17,44,156402
17,45,150910
17,46,152461
17,47,159807
17,48,167861
17,49,168889
17,50,159119
17,51,156786
17,52,156690
17,53,159116
17,54,168150
17,55,169463
17,56,169910
17,57,169284
17,58,172147
17,59,173797
17,60,167227
17,61,165763
17,62,162181
17,63,155060
17,64,153451
17,65,144416
17,66,137652
17,67,131287
17,68,126859
17,69,121965
17,70,116066
17,71,113503
17,72,116633
17,73,85340
17,74,82312
17,75,80117
17,76,82701
17,77,72245
17,78,64289
17,79,59676
17,80,55470
17,81,52704
17,82,47407
17,83,44511
17,84,41110
17,85,266969
18,0,80356
18,1,82338
18,2,83235
18,3,85579
18,4,86832
18,5,86118
18,6,86434
18,7,86142
18,8,86226
18,9,87022
18,10,87080
18,11,89818
18,12,90440
18,13,89977
18,14,89724
18,15,90625
18,16,90135
18,17,89893
18,18,88848
18,19,98248
18,20,98112
18,21,96746
18,22,94949
18,23,91868
18,24,90974
18,25,91235
18,26,92145
18,27,95204
18,28,94068
18,29,91806
18,30,87642
18,31,85192
18,32,83494
18,33,84308
18,34,85593
18,35,82924
18,36,85087
18,37,85625
18,38,85701
18,39,87928
18,40,82892
18,41,81163
18,42,80046
18,43,77446
18,44,80147
18,45,77365
18,46,78984
18,47,82769
18,48,87907
18,49,86864
18,50,81414
18,51,79324
18,52,80492
18,53,81640
18,54,87270
18,55,89490
18,56,88648
18,57,88858
18,58,90874
